"id","name","description","img","gemstone","location_of_origin","origin","treatments","cut_type","weight","dimensions","cut_by"
1001,"Chiastolite","Chiastolite is an opaque variety of Andalusite. When the crystal is cut through, its cross-section will usually show an off-white body colour and a blackish diagonal cross, caused by carbonaceous inclusions. These crystals are often sectioned, polished and used as amulets, sometimes chiastolite is cut into cabochons, tablets.

It is also known as Cross-stone.","https://www.gemdat.org/gphotos/0260195001453430122.jpg","Chiastolite","Möng Hsu (Monghsu; Maing Hsu), Loilen District, Shan State, Myanmar","Natural","None reported","Cabochon","6.22 cts.","10.15mm x 10.01mm x ?mm","N/A"
10019,"Blue Beryl (Maxixe)","Maxixe Beryl is a variety of beryl that has a bright or dark blue colour. The colour gradually fades in daylight to a brown-yellow colour, which diminishes its value as a gemstone. 

Originally (since 1917) it came only from the Maxixe Mine in Minas Gerais (Brazil). More recently beryl from multiple sources has been sold as 'Maxixe', which has lead to many in gemmological circles preferring to use the terms 'Blue Beryl' or 'Maxixe-type beryl'. 

Since the 1970s it has been more widely available and enhanced through irradiation, but the colour fades after prolonged exposure to light or heat although it is much slower with indoor lighting.","https://www.gemdat.org/gphotos/0058257001357819539.jpg","Blue Beryl (Maxixe)","N/A","Natural","Diffusion","N/A","12.44 cts.","15.7mm x 11.9mm x ?","N/A"
1003,"Childrenite","Childrenite is named after J.G. Children, English physician and naturalist.

Childrenite forms transparent to translucent, brown, yellow-brown, dark-yellow tabular or bladed crystals. Facet-quality rough is rare and cut stones are often relatively small.

Childrenite is closely related to eosphorite.","https://www.gemdat.org/gphotos/0663649001357128000.jpg","Childrenite","Brazil","Natural","None reported","N/A","2.62 cts.","7.8mm x ?","N/A"
1027,"Chondrodite","Chondrodite is named after Greek ""chondros"" - a grain, alluding to its frequent granular appearance. 

Transparent to translucent orange-brown specimens exhibiting orange-brown to yellow-brown pleochroism have been reported from Sri Lanka. Transparent deep garnet-red material of gem-quality is found in the Tilly Foster mine, Brewster, New York, USA.

Chondrodite is one of the rarest and most beautiful of gemstones and it is occasionally faceted for collectors.","https://www.gemdat.org/gphotos/0948310001357777025.jpg","Chondrodite","Tilly Foster Iron Mine, Brewster, Town of Southeast, Putnam Co., New York, USA","Natural","None reported","Round Brilliant","0.09 cts.","2.7mm x ?","N/A"
10272,"Garnet Group","Garnet is extensively used as a gem. The name is said to have been derived from the colour of the gem varieties, red garnets having been compared to the flowers and seeds of the pomegranate-tree.

The most common colour of Garnet is red, the most usual tones being tinged with brown, yellow and violet. Green garnet, the colour of which is similar to that of the emerald, though usually more yellowish or brownish, is also cut as a gem, but less frequently. Black garnets also occur and are used in mourning jewellery. Blue is a colour conspicuous by its complete absence in the garnet group. 

Amongst all varieties there are numerous specimens of perfect clearness and transparency, sometimes combined with the deepest and darkest shade of colour which are cut as gems.

Garnet is a name given to a group of closely related silicate minerals sharing the same isometric structure. In mineralogy the term garnet has been expanded to include other non-silicate minerals with the same structure, but in gemmological usage, garnet relates specifically to the various mineral species listed below.","https://www.gemdat.org/gphotos/0449973001350853617.jpg","Hessonite","Madagascar","Natural","None reported","Oval","22.77 cts.","19.28mm x 14.58mm x 9.56mm","N/A"
10295,"Copper-bearing Elbaite","A copper-bearing Elbaite.","https://www.gemdat.org/gphotos/0901952001343829472.jpg","Paraíba Tourmaline","Brazil","Natural","None reported","Oval","1.77 cts.","N/A","N/A"
1039,"Chrysoberyl","Chrysoberyl is named after Greek ""chrysos"" - gold, plus ""beryllos"" - beryl, a name used from antiquity for gold-coloured beryl.

Chrysoberyl forms transparent to translucent yellow, yellowish-green, golden yellow or brown multiple contact and penetration twinned or prominently striated short prismatic crystals with vitreous lustre.

Chrysoberyl is cut into fine gemstones of remarkable clarity and high lustre. Chatoyant chrysoberyl shows an eye when translucent and cut into cabochon.","https://www.gemdat.org/gphotos/0058134001357125563.jpg","Alexandrite","Sri Lanka","Natural","None reported","Cushion","3.55 cts.","9.07mm x 7.55mm x 5.85mm","N/A"
1040,"Chrysocolla","The name Chrysocolla derives from Greek chrysos - gold and kolla - glue, referring to its use as a flux in soldering gold. The term was used from antiquity.

Pure chrysocolla is a soft and fragile material. Much of the chrysocolla used in jewellery consists of very attractive cabochons of green or blue chrysocolla impregnating either rock crystal or opal. 

Chrysocolla is often found in a matrix of quartz, in which case the optical and physical properties may be closer to those of quartz. 

Chrysocolla covered by druses of small sparkling quartz crystals is called ""Drusy Chrysocolla"" and is very popular for jewelry. It is found in Peru.

The rarest and best quality is chrysocolla chalcedony with turquoise-like colour, but harder and chemically more stable than turquise. It comes from several copper mines in Arizona, Mexico, Taiwan and Peru.

See also: Eilat Stone, a blue-green gem material from Israel that contains Chrysocolla.","https://www.gemdat.org/gphotos/0789265001343916825.jpg","Chrysocolla","USA","Natural","None reported","Freeform","16.46 cts.","N/A","N/A"
10403,"Jade","In strict gemmological terms, jade relates to two minerals jadeite or nephrite found as tough fine-grained rocks ideal for carving. Differentiation between jadeite and nephrite is based on properties, but the term Jade is used as a description of both.
The name Jade is derived from Spanish word for ""stone of the loins"" - hip stone, as it was seen as a protection against and cure for kidney deseases.","https://www.gemdat.org/gphotos/0335283001345239504.jpg","Jadeite","Myanmar","Natural","None reported","Marquise","8.59 cts.","N/A","N/A"
1052,"Cinnabar","Cinnabar is named after Greek ""kinnabaris"", the ancient name for the mineral; possibly from Arabic ""zinjafr"" or Persian ""zinjifrah"", dragon's blood, probably alluding to its colour.

Cinnabar usually occurs as masses or crusts. Well-formed crystals are very rare. The material has cochineal-red colour with adamantine to metallic lustre. 

Clear cinnabar crystals are faceted into spectacular stones. Massive material is used for cabochons.","https://www.gemdat.org/gphotos/0983766001344944962.jpg","Cinnabar","China","Natural","None reported","Round Brilliant","8.54 cts.","N/A","Michael Gray"
1054,"Citrine","The name Citrine is derived from its lemon yellow colour. 

Citrine is sometimes very pale or almost colourless. Among deeper coloured stones may be seen wine-yellow, honey-yellow, and saffron-yellow specimens, while others have quite a pronounced brown tinge. Stones of a deep brownish-yellow colour are very similar to topaz, and those of a fine golden-yellow are quite equal in beauty to yellow topaz and can scarcely be distinguished on mere inspection from latter stone except by an expert. 

Natural citrines are rare. Most commercial citrine is heat-treated amethyst or smoky quartz. Because the color is now caused by finely distributed iron minerals (mostly hematite and goethite), heated amethyst is not a citrine in the strict sense.

Quartz colored by inclusions of any kind is not called a citrine.","https://www.gemdat.org/gphotos/0822524001353583074.jpg","Citrine","N/A","Natural","Heat Treatment","Round","18.24 cts.","15.9mm x 8.2mm","N/A"
10577,"Transvaal Jade","A compact green jade-like variety of grossular containing up to 25% of zoisite. Frequently referred to as 'hydrogrossular', the hydrous content may be due to the zoisite component rather than it being a true hydrogarnet.","https://www.gemdat.org/gphotos/0196972001343857947.jpg","Transvaal Jade","South Africa","Natural","None reported","Cabochon","8.39 cts.","N/A","N/A"
10648,"Chrome-Diopside","Chrome-Diopside is a chrome-bearing variety of Diopside with strong emerald green colour.","https://www.gemdat.org/gphotos/0367783001344943985.jpg","Chrome-Diopside","Russia","Natural","None reported","Oval","1.26 cts.","N/A","commercially cut"
1070,"Clinochlore","Clinochlore is named from Greek ""klinein"" - to incline, plus ""klan"" - to break, referring to its oblique basal cleavage.

Clinochlore forms green, yellowish, red, rose-red tabular or prismatic crystals. May also be massive, radiating, and globular masses of dense flakes.

Clinochlore yields attractive cabochons.","https://www.gemdat.org/gphotos/0678144001351546425.jpg","Seraphinite","Russia","Natural","None reported","Round Cabochon","4.81 cts.","11.89mm x 4.76mm","N/A"
1077,"Clinohumite","Clinohumite was first discovered in metamorphosed limestone ejected from Mt Vesuvius in 1876. The name reflects its monoclinic structure and a similarity to humite.

Transparent gem-quality bright yellow to deep orange clinohumite was found only recently (in the early 1980s, and later in 2000). in the Pamir Mountains of Tadzhikistan. This facet rough has been cut into attractive orange-yellow gems. 

A dark brown material has been found in the Taymyr region, Siberia.","https://www.gemdat.org/gphotos/0728191001344945854.jpg","Clinohumite","Tajikistan","Natural","None reported","Emerald","1.12 cts.","N/A","John Bradshaw"
